---,FeatName,Description,Icon,IconOverlay,GiveOnSpawn,LevelRequirement,FeatCost,Categories,PrerequisiteFeat,RewardRecipe,ShowInFeatWindow,CornerStoneLevel,DLCPackage
51959,"NSLOCTEXT("""", ""FeatTable_51959_FeatName"", ""Hardened Steel Dagger"")","NSLOCTEXT("""", ""FeatTable_51959_Description"", ""XX_Desc: Hardened Steel Dagger"")","/Game/UI/Textures/Icons/icon_hardened_steel_dagger.icon_hardened_steel_dagger","None","False","54","11","(Combat)","(52000,51951,51014)","(51959)","True","0","None"
51961,"NSLOCTEXT("""", ""FeatTable_51961_FeatName"", ""Thrall Taker"")","NSLOCTEXT("""", ""FeatTable_51961_Description"", ""XX_Desc: Thrall Taker"")","/Game/UI/Textures/Icons/icon_wheel_of_pain.icon_wheel_of_pain","None","False","10","3","(Survival)","","(89911,51303,51961)","True","60","None"
51967,"NSLOCTEXT("""", ""FeatTable_51967_FeatName"", ""Star Metal Dagger"")","NSLOCTEXT("""", ""FeatTable_51967_Description"", ""XX_Desc: Star Metal Dagger"")","/Game/UI/Textures/Icons/icon_star_metal_dagger.icon_star_metal_dagger","None","False","60","13","(Combat)","(11118)","(51967)","True","0","None"
51978,"NSLOCTEXT("""", ""FeatTable_51978_FeatName"", ""Acheronian Tools"")","NSLOCTEXT("""", ""FeatTable_51978_Description"", ""XX_Desc: Acheronian Tools"")","/Game/UI/Textures/Icons/icon_acheron_pickaxe.icon_acheron_pickaxe","None","False","60","13","(Combat)","(10)","(51978,51970)","True","0","None"
51979,"NSLOCTEXT("""", ""FeatTable_51979_FeatName"", ""Acheronian Longsword"")","NSLOCTEXT("""", ""FeatTable_51979_Description"", ""XX_Desc: Acheronian Longsword"")","/Game/UI/Textures/Icons/icon_acheron_sword.icon_acheron_sword","None","False","60","13","(Combat)","(11114)","(51979)","True","0","None"
51982,"NSLOCTEXT("""", ""FeatTable_51982_FeatName"", ""Acheronian Spear"")","NSLOCTEXT("""", ""FeatTable_51982_Description"", ""XX_Desc: Acheronian Spear"")","/Game/UI/Textures/Icons/icon_acheron_spear.icon_acheron_spear","None","False","60","7","(Combat)","(11118)","(51982)","True","0","None"
51985,"NSLOCTEXT("""", ""FeatTable_51985_FeatName"", ""Acheronian War-axe"")","NSLOCTEXT("""", ""FeatTable_51985_Description"", ""XX_Desc: Acheronian War-axe"")","/Game/UI/Textures/Icons/icon_acheron_axe.icon_acheron_axe","None","False","60","13","(Combat)","(11114)","(51985)","True","0","None"
51988,"NSLOCTEXT("""", ""FeatTable_51988_FeatName"", ""Acheronian Shield"")","NSLOCTEXT("""", ""FeatTable_51988_Description"", ""XX_Desc: Acheronian Shield"")","/Game/UI/Textures/Icons/icon_acheronian_shield.icon_acheronian_shield","None","False","60","13","(Combat)","(11116)","(51988)","True","0","None"
51991,"NSLOCTEXT("""", ""FeatTable_51991_FeatName"", ""Dragonbone Shield"")","NSLOCTEXT("""", ""FeatTable_51991_Description"", ""XX_Desc: Dragonbone Shield"")","/Game/UI/Textures/Icons/icon_dragonbone_shield.icon_dragonbone_shield","None","False","60","13","(Combat)","(11116)","(51991)","False","0","None"
52000,"NSLOCTEXT("""", ""FeatTable_52000_FeatName"", ""Steel Tools"")","NSLOCTEXT("""", ""FeatTable_52000_Description"", ""XX_Desc: Steel Tools"")","/Game/UI/Textures/Icons/icon_steel_pickaxe.icon_steel_pickaxe","None","False","30","7","(Survival)","(51000)","(51003,51013,51470,51040)","True","0","None"
52081,"NSLOCTEXT("""", ""FeatTable_52081_FeatName"", ""Sandstorm Mask"")","NSLOCTEXT("""", ""FeatTable_52081_Description"", ""XX_Desc: Sandstorm Mask"")","/Game/UI/Textures/Icons/icon_sandstorm_mask.icon_sandstorm_mask","None","False","30","4","(Armor)","(8,51000)","(52081)","True","0","None"
52202,"NSLOCTEXT("""", ""FeatTable_52202_FeatName"", ""Weaver"")","NSLOCTEXT("""", ""FeatTable_52202_Description"", ""XX_Desc: Weaver"")","/Game/UI/Textures/Icons/icon_worker_shirt.icon_worker_shirt","None","True","1","0","(Armor)","","(52202,52203,52204,52205)","True","5","None"
52295,"NSLOCTEXT("""", ""FeatTable_52295_FeatName"", ""Mountaineer"")","NSLOCTEXT("""", ""FeatTable_52295_Description"", ""XX_Desc: Mountaineer"")","/Game/UI/Textures/Icons/icon_climbing_boots.icon_climbing_boots","None","False","0","0","(Religion)","(8)","(52295,52293)","False","0","None"
52421,"NSLOCTEXT("""", ""FeatTable_52421_FeatName"", ""Raider Armor"")","NSLOCTEXT("""", ""FeatTable_52421_Description"", ""XX_Desc: Raider Armor"")","/Game/UI/Textures/Icons/icon_shemite_headdress.icon_shemite_headdress","None","False","30","7","(Armor)","(8,52000)","(52221,52222,52226,52224,52225,52421,52422,52423,52424,52425,52406,52407,52408,52409,52410)","True","0","None"
52451,"NSLOCTEXT("""", ""FeatTable_52451_FeatName"", ""Lemurian Warrior Armor"")","NSLOCTEXT("""", ""FeatTable_52451_Description"", ""XX_Desc: Lemurian Warrior Armor"")","/Game/UI/Textures/Icons/epic_icon_lemurian_warrior_chest.epic_icon_lemurian_warrior_chest","None","False","60","0","(Armor)","(52567)","(52452,52451,52453,52454,52455)","False","0","None"
52466,"NSLOCTEXT("""", ""FeatTable_52466_FeatName"", ""Lemurian Royal Armor"")","NSLOCTEXT("""", ""FeatTable_52466_Description"", ""XX_Desc: Lemurian Royal Armor"")","/Game/UI/Textures/Icons/epic_icon_lemurian_queen_chest.epic_icon_lemurian_queen_chest","None","False","60","0","(Armor)","(52567)","(52467,52468,52469,52470,52466)","False","0","None"
52467,"NSLOCTEXT("""", ""FeatTable_52467_FeatName"", ""Aquilonian Guardsman Epic"")","NSLOCTEXT("""", ""FeatTable_52467_Description"", ""XX_Desc: Aquilonian Guardsman Epic"")","/Game/UI/Textures/Icons/epic_icon_aquil_M_chest.epic_icon_aquil_M_chest","None","False","60","7","(Armor)","(52567,52631)","(91061,91060,91062,91063,91064)","True","0","None"
52468,"NSLOCTEXT("""", ""FeatTable_52468_FeatName"", ""Darfari Skin Epic"")","NSLOCTEXT("""", ""FeatTable_52468_Description"", ""XX_Desc: Darfari Skin Epic"")","/Game/UI/Textures/Icons/epic_icon_darfari_chestpiece.epic_icon_darfari_chestpiece","None","False","60","7","(Armor)","(52567,52950)","(91016,91015,91017,91018,91019)","True","0","None"
52469,"NSLOCTEXT("""", ""FeatTable_52469_FeatName"", ""Hyperborean Slaver Epic"")","NSLOCTEXT("""", ""FeatTable_52469_Description"", ""XX_Desc: Hyperborean Slaver Epic"")","/Game/UI/Textures/Icons/epic_icon_barbarian_H_chest.epic_icon_barbarian_H_chest","None","False","60","7","(Armor)","(52567,52950)","(91071,91070,91072,91073,91074)","True","0","None"
52470,"NSLOCTEXT("""", ""FeatTable_52470_FeatName"", ""Hyrkanian Raider Epic"")","NSLOCTEXT("""", ""FeatTable_52470_Description"", ""XX_Desc: Hyrkanian Raider Epic"")","/Game/UI/Textures/Icons/epic_icon_hyrkanian_chest.epic_icon_hyrkanian_chest","None","False","60","7","(Armor)","(52567,52421)","(91076,91075,91077,91078,91079)","True","0","None"
52471,"NSLOCTEXT("""", ""FeatTable_52471_FeatName"", ""Kambujan Shaman Epic"")","NSLOCTEXT("""", ""FeatTable_52471_Description"", ""XX_Desc: Kambujan Shaman Epic"")","/Game/UI/Textures/Icons/epic_icon_druid_chest.epic_icon_druid_chest","None","False","60","7","(Armor)","(52567,52950)","(91046,91045,91047,91048,91049)","True","0","None"
52472,"NSLOCTEXT("""", ""FeatTable_52472_FeatName"", ""Shemite Nomad Epic"")","NSLOCTEXT("""", ""FeatTable_52472_Description"", ""XX_Desc: Shemite Nomad Epic"")","/Game/UI/Textures/Icons/epic_icon_shemite_shirt.epic_icon_shemite_shirt","None","False","60","7","(Armor)","(52567,52421)","(91021,91020,91022,91023,91024)","True","0","None"
52473,"NSLOCTEXT("""", ""FeatTable_52473_FeatName"", ""Stygian Soldier Epic"")","NSLOCTEXT("""", ""FeatTable_52473_Description"", ""XX_Desc: Stygian Soldier Epic"")","/Game/UI/Textures/Icons/epic_icon_stygian_H_top.epic_icon_stygian_H_top","None","False","60","7","(Armor)","(52567,52631)","(91086,91085,91087,91088,91089)","True","0","None"
52474,"NSLOCTEXT("""", ""FeatTable_52474_FeatName"", ""Stygian Raider Epic"")","NSLOCTEXT("""", ""FeatTable_52474_Description"", ""XX_Desc: Stygian Raider Epic"")","/Game/UI/Textures/Icons/epic_icon_stygian_M_chest.epic_icon_stygian_M_chest","None","False","60","7","(Armor)","(52567,52421)","(91051,91050,91052,91053,91054)","True","0","None"
52475,"NSLOCTEXT("""", ""FeatTable_52475_FeatName"", ""Vanir Warrior Epic"")","NSLOCTEXT("""", ""FeatTable_52475_Description"", ""XX_Desc: Vanir Warrior Epic"")","/Game/UI/Textures/Icons/epic_icon_vanir_H_top.epic_icon_vanir_H_top","None","False","60","7","(Armor)","(52567,52615)","(91081,91080,91082,91083,91084)","True","0","None"
52476,"NSLOCTEXT("""", ""FeatTable_52476_FeatName"", ""Vanir Settler Epic"")","NSLOCTEXT("""", ""FeatTable_52476_Description"", ""XX_Desc: Vanir Settler Epic"")","/Game/UI/Textures/Icons/epic_icon_vanir_light_top.epic_icon_vanir_light_top","None","False","60","7","(Armor)","(52567,52615)","(91026,91025,91027,91028,91029)","True","0","None"
52477,"NSLOCTEXT("""", ""FeatTable_52477_FeatName"", ""Vanir Fur Epic"")","NSLOCTEXT("""", ""FeatTable_52477_Description"", ""XX_Desc: Vanir Fur Epic"")","/Game/UI/Textures/Icons/epic_icon_vanir_M_top.epic_icon_vanir_M_top","None","False","60","7","(Armor)","(52567,52615)","(91056,91055,91057,91058,91059)","True","0","None"
52478,"NSLOCTEXT("""", ""FeatTable_52478_FeatName"", ""Zamorian Thief Epic"")","NSLOCTEXT("""", ""FeatTable_52478_Description"", ""XX_Desc: Zamorian Thief Epic"")","/Game/UI/Textures/Icons/epic_icon_zamorian_chest.epic_icon_zamorian_chest","None","False","60","7","(Armor)","(52567,52631)","(91031,91030,91032,91033,91034)","True","0","None"
52479,"NSLOCTEXT("""", ""FeatTable_52479_FeatName"", ""Zingaran Freebooter Epic"")","NSLOCTEXT("""", ""FeatTable_52479_Description"", ""XX_Desc: Zingaran Freebooter Epic"")","/Game/UI/Textures/Icons/epic_icon_zingarianLight_chest.epic_icon_zingarianLight_chest","None","False","60","7","(Armor)","(52567)","(91036,91035,91037,91038,91039)","True","0","None"
52480,"NSLOCTEXT("""", ""FeatTable_52480_FeatName"", ""Cimmerian Clan Epic"")","NSLOCTEXT("""", ""FeatTable_52480_Description"", ""XX_Desc: Cimmerian Clan Epic"")","/Game/UI/Textures/Icons/epic_icon_cimmerian_M_top.epic_icon_cimmerian_M_top","None","False","60","7","(Armor)","(52567)","(52567,52566,52568,52569,52570)","True","0","None"
52481,"NSLOCTEXT("""", ""FeatTable_52481_FeatName"", ""Cimmerian Warrior Epic"")","NSLOCTEXT("""", ""FeatTable_52481_Description"", ""XX_Desc: Cimmerian Warrior Epic"")","/Game/UI/Textures/Icons/epic_icon_cimmerian_H_top.epic_icon_cimmerian_H_top","None","False","60","7","(Armor)","(52567)","(52562,52561,52563,52564,52565)","True","0","None"
52482,"NSLOCTEXT("""", ""FeatTable_52482_FeatName"", ""Relic Hunter Epic"")","NSLOCTEXT("""", ""FeatTable_52482_Description"", ""XX_Desc: Relic Hunter Epic"")","/Game/UI/Textures/Icons/epic_icon_relic_hunter_shirt.epic_icon_relic_hunter_shirt","None","False","60","7","(Armor)","(52567,52483)","(91041,91040,91042,91043,91044)","False","0","None"
52483,"NSLOCTEXT("""", ""FeatTable_52483_FeatName"", ""Relic Hunter Armor"")","NSLOCTEXT("""", ""FeatTable_52483_Description"", ""XX_Desc: Relic Hunter Armor"")","/Game/UI/Textures/Icons/icon_relic_hunter_shirt.icon_relic_hunter_shirt","None","False","20","5","(Armor)","(8)","(52542,52541,52543,52544,52545)","False","0","None"
52484,"NSLOCTEXT("""", ""FeatTable_52484_FeatName"", ""Reptile Leather Epic"")","NSLOCTEXT("""", ""FeatTable_52484_Description"", ""XX_Desc: Reptile Leather Epic"")","/Game/UI/Textures/Icons/epic_icon_crocodile_armor_gauntlets.epic_icon_crocodile_armor_gauntlets","None","False","60","7","(Armor)","(52567,95001)","(91281,91280,91282,91283,91284)","False","0","None"
52486,"NSLOCTEXT("""", ""FeatTable_52486_FeatName"", ""Hyena-Fur Armor"")","NSLOCTEXT("""", ""FeatTable_52486_Description"", ""XX_Desc: Hyena-Fur Armor"")","/Game/UI/Textures/Icons/icon_dogs_top.icon_dogs_top","None","False","30","0","(Armor)","(8)","(52552,52551,52553,52554,52555)","False","0","None"
52487,"NSLOCTEXT("""", ""FeatTable_52487_FeatName"", ""Hyena-Fur Epic"")","NSLOCTEXT("""", ""FeatTable_52487_Description"", ""XX_Desc: Hyena-Fur Epic"")","/Game/UI/Textures/Icons/epic_icon_dogs_top.epic_icon_dogs_top","None","False","60","7","(Armor)","(52567,52486)","(91296,91295,91297,91298,91299)","False","0","None"
52498,"NSLOCTEXT("""", ""FeatTable_52498_FeatName"", ""Buccaneer"")","NSLOCTEXT("""", ""FeatTable_52498_Description"", ""XX_Desc: Buccaneer"")","/Game/UI/Textures/Icons/icon_black_hand_peglegL.icon_black_hand_peglegL","None","False","60","0","(Armor)","(8)","(52498,52499,52500,52496,52495)","False","0","None"
52567,"NSLOCTEXT("""", ""FeatTable_52567_FeatName"", ""Exile Epics"")","NSLOCTEXT("""", ""FeatTable_52567_Description"", ""XX_Desc: Exile Epics"")","/Game/UI/Textures/Icons/epic_icon_light_exile_armor.epic_icon_light_exile_armor","None","False","60","13","(Armor)","(8,51015)","(91001,91000,91002,91003,91004,91005,91006,91007,91008,91009,91010,91011,91012,91013,91014,52896,52897,52898,52899,52900,52901,52902,52903,52904,52905,52906,52907,52908,52909,52910,18054,11053,12516,18516)","True","15","None"
52604,"NSLOCTEXT("""", ""FeatTable_52604_FeatName"", ""Pride of the Silent Legion"")","NSLOCTEXT("""", ""FeatTable_52604_Description"", ""XX_Desc: Pride of the Silent Legion"")","/Game/UI/Textures/Icons/epic_icon_deathknight_top.epic_icon_deathknight_top","None","False","60","0","(Armor)","(52567)","(52604,52603,52605,52606,52607)","False","0","None"
52615,"NSLOCTEXT("""", ""FeatTable_52615_FeatName"", ""Nordheimer Armors"")","NSLOCTEXT("""", ""FeatTable_52615_Description"", ""XX_Desc: Nordheimer Armors"")","/Game/UI/Textures/Icons/icon_vanir_light_top.icon_vanir_light_top","None","False","40","9","(Armor)","(8,52000)","(52976,52975,52977,52978,52979,52615,52616,52617,52618,52619,52556,52557,52558,52559,52560)","True","0","None"
52631,"NSLOCTEXT("""", ""FeatTable_52631_FeatName"", ""Great Civilizations Armors"")","NSLOCTEXT("""", ""FeatTable_52631_Description"", ""XX_Desc: Great Civilizations Armors"")","/Game/UI/Textures/Icons/icon_zamorian_headwraps.icon_zamorian_headwraps","None","False","50","11","(Armor)","(8,51014)","(52935,52936,52937,52938,52939,52630,52631,52632,52633,52634,52306,52307,52308,52309,52310)","True","0","None"
52950,"NSLOCTEXT("""", ""FeatTable_52950_FeatName"", ""Savage Armors"")","NSLOCTEXT("""", ""FeatTable_52950_Description"", ""XX_Desc: Savage Armors"")","/Game/UI/Textures/Icons/icon_darfari_mask_01.icon_darfari_mask_01","None","False","20","5","(Armor)","(8,51000)","(52071,52072,52073,52074,52075,52436,52437,52438,52439,52440,52957,52950,52951,52956,52958)","True","0","None"
53520,"NSLOCTEXT("""", ""FeatTable_53520_FeatName"", ""Decorative Warpaints"")","NSLOCTEXT("""", ""FeatTable_53520_Description"", ""XX_Desc: Decorative Warpaints"")","/Game/UI/Textures/Icons/icon_paintbrush.icon_paintbrush","None","False","22","2","(Armor)","(51000,80311,89103)","(53549,53548,53520,53521,53522,53523,53524,53525,53526)","True","50","None"
53527,"NSLOCTEXT("""", ""FeatTable_53527_FeatName"", ""Functional Warpaints"")","NSLOCTEXT("""", ""FeatTable_53527_Description"", ""XX_Desc: Functional Warpaints"")","/Game/UI/Textures/Icons/Icon_Warpaint_strength.Icon_Warpaint_strength","None","False","42","3","(Armor)","(53520)","(53527,53528,53529,53530,53531,53532,53533)","True","0","None"
53613,"NSLOCTEXT("""", ""FeatTable_53613_FeatName"", ""Razor Arrows"")","NSLOCTEXT("""", ""FeatTable_53613_Description"", ""XX_Desc: Razor Arrows"")","/Game/UI/Textures/Icons/icon_razor_arrow.icon_razor_arrow","None","False","40","5","(Combat)","(6,11,52000)","(53613)","True","0","None"
53614,"NSLOCTEXT("""", ""FeatTable_53614_FeatName"", ""Fire Arrows"")","NSLOCTEXT("""", ""FeatTable_53614_Description"", ""XX_Desc: Fire Arrows"")","/Game/UI/Textures/Icons/icon_fire_arrow.icon_fire_arrow","None","False","30","4","(Combat)","(6,11,51000)","(53614)","True","0","None"
53615,"NSLOCTEXT("""", ""FeatTable_53615_FeatName"", ""Specialist Ammunition I"")","NSLOCTEXT("""", ""FeatTable_53615_Description"", ""XX_Desc: Specialist Ammunition I"")","/Game/UI/Textures/Icons/icon_arrow_corruption.icon_arrow_corruption","None","False","29","3","(Combat)","(6,51000)","(53616,53618,51471)","False","0","None"
53616,"NSLOCTEXT("""", ""FeatTable_53616_FeatName"", ""Specialist Ammunition II"")","NSLOCTEXT("""", ""FeatTable_53616_Description"", ""XX_Desc: Specialist Ammunition II"")","/Game/UI/Textures/Icons/icon_arrow_aloe.icon_arrow_aloe","None","False","38","4","(Combat)","(6,53615,52000)","(53615,53619)","False","0","None"
53617,"NSLOCTEXT("""", ""FeatTable_53617_FeatName"", ""Specialist Ammunition III"")","NSLOCTEXT("""", ""FeatTable_53617_Description"", ""XX_Desc: Specialist Ammunition III"")","/Game/UI/Textures/Icons/icon_arrow_explosive.icon_arrow_explosive","None","False","49","5","(Combat)","(6,53616,52000)","(53617,53620)","False","0","None"
53618,"NSLOCTEXT("""", ""FeatTable_53618_FeatName"", ""Ironhead Arrow"")","NSLOCTEXT("""", ""FeatTable_53618_Description"", ""XX_Desc: Ironhead Arrow"")","/Game/UI/Textures/Icons/icon_ironhead_arrow.icon_ironhead_arrow","None","False","20","3","(Combat)","(6,11,51000)","(53612)","True","0","None"
53654,"NSLOCTEXT("""", ""FeatTable_53654_FeatName"", ""Hardened Steel Arrow"")","NSLOCTEXT("""", ""FeatTable_53654_Description"", ""XX_Desc: Hardened Steel Arrow"")","/Game/UI/Textures/Icons/icon_hardened_steel_arrow.icon_hardened_steel_arrow","None","False","50","6","(Combat)","(6,11,51014)","(53654)","True","0","None"
53656,"NSLOCTEXT("""", ""FeatTable_53656_FeatName"", ""Star Metal Arrow"")","NSLOCTEXT("""", ""FeatTable_53656_Description"", ""XX_Desc: Star Metal Arrow"")","/Game/UI/Textures/Icons/icon_star_metal_arrow.icon_star_metal_arrow","None","False","60","7","(Combat)","(11117)","(53656)","True","0","None"
53724,"NSLOCTEXT("""", ""FeatTable_53724_FeatName"", ""Black Ice Throwing Axe"")","NSLOCTEXT("""", ""FeatTable_53724_Description"", ""XX_Desc: Black Ice Throwing Axe"")","/Game/UI/Textures/Icons/icon_black_ice_throwing_axe.icon_black_ice_throwing_axe","None","False","60","0","(Combat)","(11118)","(51943)","False","0","None"
53725,"NSLOCTEXT("""", ""FeatTable_53725_FeatName"", ""Obsidian Throwing Axe"")","NSLOCTEXT("""", ""FeatTable_53725_Description"", ""XX_Desc: Obsidian Throwing Axe"")","/Game/UI/Textures/Icons/icon_obsidian_throwing_axe.icon_obsidian_throwing_axe","None","False","60","7","(Combat)","(11118)","(51944)","False","0","None"
53726,"NSLOCTEXT("""", ""FeatTable_53726_FeatName"", ""Serpentine Throwing Axe"")","NSLOCTEXT("""", ""FeatTable_53726_Description"", ""XX_Desc: Serpentine Throwing Axe"")","/Game/UI/Textures/Icons/icon_serpentmen_throwing_axe.icon_serpentmen_throwing_axe","None","False","60","0","(Combat)","(11118)","(51945)","False","0","None"
54001,"NSLOCTEXT("""", ""FeatTable_54001_FeatName"", ""Dragonbone Spear"")","NSLOCTEXT("""", ""FeatTable_54001_Description"", ""XX_Desc: Dragonbone Spear"")","/Game/UI/Textures/Icons/icon_dragonbone_spear.icon_dragonbone_spear","None","False","60","0","(Combat)","(11115)","(54001)","False","0","None"
54002,"NSLOCTEXT("""", ""FeatTable_54002_FeatName"", ""Dragonbone Maul"")","NSLOCTEXT("""", ""FeatTable_54002_Description"", ""XX_Desc: Dragonbone Maul"")","/Game/UI/Textures/Icons/icon_dragonbone_2h_hammer.icon_dragonbone_2h_hammer","None","False","60","0","(Combat)","(11115)","(54002)","False","0","None"
54003,"NSLOCTEXT("""", ""FeatTable_54003_FeatName"", ""Dragonhorn Bow"")","NSLOCTEXT("""", ""FeatTable_54003_Description"", ""XX_Desc: Dragonhorn Bow"")","/Game/UI/Textures/Icons/icon_dragonhorn_bow.icon_dragonhorn_bow","None","False","60","0","(Combat)","(11117)","(54003,54004)","False","0","None"
54005,"NSLOCTEXT("""", ""FeatTable_54005_FeatName"", ""Dragonbone Sword"")","NSLOCTEXT("""", ""FeatTable_54005_Description"", ""XX_Desc: Dragonbone Sword"")","/Game/UI/Textures/Icons/icon_dragonbone_sword.icon_dragonbone_sword","None","False","60","0","(Combat)","(11114)","(54005)","False","0","None"
54006,"NSLOCTEXT("""", ""FeatTable_54006_FeatName"", ""Dragonbone War Axe"")","NSLOCTEXT("""", ""FeatTable_54006_Description"", ""XX_Desc: Dragonbone War Axe"")","/Game/UI/Textures/Icons/icon_dragonbone_waraxe.icon_dragonbone_waraxe","None","False","60","0","(Combat)","(11114)","(54000)","False","0","None"
54007,"NSLOCTEXT("""", ""FeatTable_54007_FeatName"", ""Dragonbone Two-Handed Sword"")","NSLOCTEXT("""", ""FeatTable_54007_Description"", ""XX_Desc: Dragonbone Two-Handed Sword"")","/Game/UI/Textures/Icons/icon_dragonhorn_2hSword.icon_dragonhorn_2hSword","None","False","60","0","(Combat)","(11115)","(53999)","False","0","None"
54008,"NSLOCTEXT("""", ""FeatTable_54008_FeatName"", ""Dragonbone Daggers"")","NSLOCTEXT("""", ""FeatTable_54008_Description"", ""XX_Desc: Dragonbone Daggers"")","/Game/UI/Textures/Icons/icon_dragonhorn_dagger.icon_dragonhorn_dagger","None","False","60","0","(Combat)","(11118)","(53998)","False","0","None"
54009,"NSLOCTEXT("""", ""FeatTable_54009_FeatName"", ""Dragonbone Throwing Axe"")","NSLOCTEXT("""", ""FeatTable_54009_Description"", ""XX_Desc: Dragonbone Throwing Axe"")","/Game/UI/Textures/Icons/icon_dragonhorn_throwing_axe.icon_dragonhorn_throwing_axe","None","False","60","0","(Combat)","(11118)","(53735)","False","0","None"
54010,"NSLOCTEXT("""", ""FeatTable_54010_FeatName"", ""Dragonbone Javelin"")","NSLOCTEXT("""", ""FeatTable_54010_Description"", ""XX_Desc: Dragonbone Javelin"")","/Game/UI/Textures/Icons/icon_dragonhorn_javelin.icon_dragonhorn_javelin","None","False","60","0","(Combat)","(11118)","(53736)","False","0","None"
55001,"NSLOCTEXT("""", ""FeatTable_55001_FeatName"", ""Acolyte of Set"")","NSLOCTEXT("""", ""FeatTable_55001_Description"", ""XX_Desc: Acolyte of Set"")","/Game/UI/Textures/Icons/icon_t1_alter_of_set.icon_t1_alter_of_set","None","False","1","50","(Religion)","","(80951,51902,53503,80504)","True","20","None"
55002,"NSLOCTEXT("""", ""FeatTable_55002_FeatName"", ""Acolyte of Yog"")","NSLOCTEXT("""", ""FeatTable_55002_Description"", ""XX_Desc: Acolyte of Yog"")","/Game/UI/Textures/Icons/icon_t1_alter_of_yog.icon_t1_alter_of_yog","None","False","1","50","(Religion)","","(80961,51854,53501)","True","30","None"
55003,"NSLOCTEXT("""", ""FeatTable_55003_FeatName"", ""Acolyte of Mitra"")","NSLOCTEXT("""", ""FeatTable_55003_Description"", ""XX_Desc: Acolyte of Mitra"")","/Game/UI/Textures/Icons/icon_t1_altar_of_mitra.icon_t1_altar_of_mitra","None","False","1","50","(Religion)","","(80971,51304,53502,53554)","True","10","None"
55004,"NSLOCTEXT("""", ""FeatTable_55004_FeatName"", ""Blessings of Mitra"")","NSLOCTEXT("""", ""FeatTable_55004_Description"", ""XX_Desc: Blessings of Mitra"")","/Game/UI/Textures/Icons/icon_mitra_ankh_staff.icon_mitra_ankh_staff","None","False","60","7","(Religion)","(55023)","(51457,51465)","True","0","None"
55005,"NSLOCTEXT("""", ""FeatTable_55005_FeatName"", ""Blessings of Yog"")","NSLOCTEXT("""", ""FeatTable_55005_Description"", ""XX_Desc: Blessings of Yog"")","/Game/UI/Textures/Icons/icon_darfari_bone_club.icon_darfari_bone_club","None","False","60","7","(Religion)","(55022)","(51458,51466)","True","0","None"
55006,"NSLOCTEXT("""", ""FeatTable_55006_FeatName"", ""Blessings of Set"")","NSLOCTEXT("""", ""FeatTable_55006_Description"", ""XX_Desc: Blessings of Set"")","/Game/UI/Textures/Icons/icon_sacrificial_knife.icon_sacrificial_knife","None","False","60","7","(Religion)","(55021)","(51459,51467)","True","0","None"
55007,"NSLOCTEXT("""", ""FeatTable_55007_FeatName"", ""Blessings of Ymir"")","NSLOCTEXT("""", ""FeatTable_55007_Description"", ""XX_Desc: Blessings of Ymir"")","/Game/UI/Textures/Icons/icon_black_ice_1h_axe.icon_black_ice_1h_axe","None","False","60","7","(Religion)","(80978)","(51460,51463)","True","0","None"
55008,"NSLOCTEXT("""", ""FeatTable_55008_FeatName"", ""Blessings of Derketo"")","NSLOCTEXT("""", ""FeatTable_55008_Description"", ""XX_Desc: Blessings of Derketo"")","/Game/UI/Textures/Icons/icon_skinning_dagger_derketo.icon_skinning_dagger_derketo","None","False","60","7","(Religion)","(80947)","(51462,51464)","True","0","None"
55011,"NSLOCTEXT("""", ""FeatTable_55011_FeatName"", ""Priest of Set"")","NSLOCTEXT("""", ""FeatTable_55011_Description"", ""XX_Desc: Priest of Set"")","/Game/UI/Textures/Icons/icon_t2_alter_of_set.icon_t2_alter_of_set","None","False","20","5","(Religion)","(55001)","(80952,52501,52502,52504,52505,53651)","True","0","None"
55012,"NSLOCTEXT("""", ""FeatTable_55012_FeatName"", ""Priest of Yog"")","NSLOCTEXT("""", ""FeatTable_55012_Description"", ""XX_Desc: Priest of Yog"")","/Game/UI/Textures/Icons/icon_t2_alter_of_yog.icon_t2_alter_of_yog","None","False","20","5","(Religion)","(55002)","(80962,52511,51922)","True","0","None"
55013,"NSLOCTEXT("""", ""FeatTable_55013_FeatName"", ""Priest of Mitra"")","NSLOCTEXT("""", ""FeatTable_55013_Description"", ""XX_Desc: Priest of Mitra"")","/Game/UI/Textures/Icons/icon_t2_altar_of_mitra.icon_t2_altar_of_mitra","None","False","20","5","(Religion)","(55003)","(80972,52522,52524,80975)","True","0","None"
55021,"NSLOCTEXT("""", ""FeatTable_55021_FeatName"", ""High Priest of Set"")","NSLOCTEXT("""", ""FeatTable_55021_Description"", ""XX_Desc: High Priest of Set"")","/Game/UI/Textures/Icons/icon_t3_alter_of_set.icon_t3_alter_of_set","None","False","50","11","(Religion)","(55011)","(80953,51817,51625,70001,18218)","True","0","None"
55022,"NSLOCTEXT("""", ""FeatTable_55022_FeatName"", ""High Priest of Yog"")","NSLOCTEXT("""", ""FeatTable_55022_Description"", ""XX_Desc: High Priest of Yog"")","/Game/UI/Textures/Icons/icon_t3_alter_of_yog.icon_t3_alter_of_yog","None","False","50","11","(Religion)","(55012)","(80963,51855,80741,18212)","True","0","None"
